DATA STOCK OPNAME,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9
DEPARTMEN : PACKAGING (FINISH GOOD),,,,,,,,,
2025-11-30 00:00:00,,,,,,,,,
NO,CUSTOMER,KODE SISTEM,Partner,NAMA,STOCK,HARGA JUAL,TOTAL Rp.,SUM,KODE IPOS
156,PT. SIGMA PACK GEMILANG,FG-SIG-00009,,CARTON BOX EXPORT 4L45-FDL (FRONT DOOR) UK 965 X 385 X 570 MM  K275/M150X3/K275 BC/F,5,165000,825000,,KRT04099
157,PT. SIGMA PACK GEMILANG,FG-SIG-00010,,CARTON BOX EXPORT 4L45-RDR (REAR DOOR) UK 900 X 385 X 570 MM K275/M150X3/K275 BC/F,24,162000,3888000,,KRT02066
158,PT. SIGMA PACK GEMILANG,FG-SIG-00018,,CB. SUZUKI HANDLE WITH CARE 475 X 405 X 125 MM K150/M125X3/K150 CB/F,630,11000,6930000,,
159,PT. SIGMA PACK GEMILANG,FG-SIG-00026,,CB. GARNISH LOWER 22MY UK 245X100X700 MM K150/M125/K150 C/F,520,4500,2340000,,KRT02065
160,PT. STAR TEC PACIFIC,FG-STP-00011,PT. STAR TEC PACIFIC,SIDE REEL 10 STP,5000,5900,29500000,29500000,KRT02150
161,PT. TECHNO INDONESIA,FG-TECH-00012,PT. TECHNO INDONESIA,LAYER AI CETAK (590X390MM),4600,900,4140000,4140000,
162,PT. WANG SARIMULTI UTAMA,FG-WANG-00003,PT. WANG SARIMULTI UTAMA,BOX W18 S W 547X269X223 - BOX W18,110,5300,583000,4312000,KRT03582
163,PT. WANG SARIMULTI UTAMA,FG-WANG-00005,,BOX W6 S W 370X220X130 - BOX W6,100,4000,400000,,KRT02718
164,PT. WANG SARIMULTI UTAMA,FG-WANG-00007,,LAYER W6 370X220 - LAYER W6,200,1000,200000,,KRT02719
165,PT. WANG SARIMULTI UTAMA,FG-WANG-00010,,PARTISI W18 (3HOLE) 520X260X225 - PARTISI W18 3 HOLE,430,2500,1075000,,KRT03186
